
2015/01/13 23:51:56 [emerg] 11039#0: open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/conf/fastcgi_params" failed (2: No such file or directory) in /home/zmkeil/nginx/apps/nginx-fcgi-demo/conf/nginx.conf:20
2015/01/14 01:01:51 [error] 11880#0: *84 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/favicon.ico" failed (2: No such file or directory), client: 192.168.2.101, server: , request: "GET /favicon.ico HTTP/1.1", host: "192.168.2.188"
2015/01/14 01:01:54 [error] 11880#0: *84 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/favicon.ico" failed (2: No such file or directory), client: 192.168.2.101, server: , request: "GET /favicon.ico HTTP/1.1", host: "192.168.2.188"
2015/01/14 01:01:55 [error] 11880#0: *84 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/favicon.ico" failed (2: No such file or directory), client: 192.168.2.101, server: , request: "GET /favicon.ico HTTP/1.1", host: "192.168.2.188"
2015/01/14 01:02:01 [error] 11880#0: *90 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 01:03:01 [error] 11880#0: *91 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 01:03:49 [notice] 17241#0: signal process started
2015/01/14 01:04:01 [error] 17243#0: *94 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 01:04:47 [error] 17243#0: *92 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/favicon.ico" failed (2: No such file or directory), client: 192.168.2.101, server: , request: "GET /favicon.ico HTTP/1.1", host: "192.168.2.188"
2015/01/14 01:05:01 [error] 17243#0: *99 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 01:06:01 [error] 17243#0: *100 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 01:07:01 [error] 17243#0: *101 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 01:08:01 [error] 17243#0: *102 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 01:09:01 [error] 17243#0: *103 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 01:10:01 [error] 17243#0: *104 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 01:11:01 [error] 17243#0: *105 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 01:12:01 [error] 17243#0: *109 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 01:13:01 [error] 17243#0: *110 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 01:14:01 [error] 17243#0: *116 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 01:15:01 [error] 17243#0: *117 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 01:15:52 [error] 17243#0: *118 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/test.fcgi" failed (2: No such file or directory), client: 192.168.2.101, server: , request: "GET /test.fcgi HTTP/1.1", host: "192.168.2.188"
2015/01/14 01:16:01 [error] 17243#0: *120 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 01:16:02 [error] 17243#0: *118 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.2.101, server: , request: "GET /test.pefcgi HTTP/1.1", upstream: "fastcgi://127.0.0.1:8999", host: "192.168.2.188"
2015/01/14 01:17:01 [error] 17243#0: *122 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 01:18:01 [error] 17243#0: *123 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 01:18:10 [error] 17243#0: *124 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.2.101, server: , request: "GET /test.pefcgi HTTP/1.1", upstream: "fastcgi://127.0.0.1:8999", host: "192.168.2.188"
2015/01/14 01:19:02 [error] 17243#0: *127 open() "/home/zmkeil/nginx/apps/nginx-fcgi-demo/html/nginx_status" failed (2: No such file or directory), client: 127.0.0.1, server: , request: "GET /nginx_status HTTP/1.0", host: "status.taobao.com"
2015/01/14 01:19:50 [error] 17243#0: *128 connect() failed (111: Connection refused) while connecting to upstream, client: 192.168.2.101, server: , request: "GET /test.pefcgi HTTP/1.1", upstream: "fastcgi://127.0.0.1:8999", host: "192.168.2.188"
